id,registration_number,name,email,department,phone
s-SCIS-2-0,22SCIS200,Akash Pillai,22scis200@uohyd.ac.in,M.Tech Computer Science,9876544210
s-SCIS-2-1,22SCIS201,Nisha Chopra,22scis201@uohyd.ac.in,M.Tech Computer Science,9876544211
s-SCIS-2-2,22SCIS202,Harsh Bansal,22scis202@uohyd.ac.in,M.Tech Computer Science,9876544212
s-SCIS-2-3,22SCIS203,Simran Kaur,22scis203@uohyd.ac.in,M.Tech Computer Science,9876544213
s-SCIS-2-4,22SCIS204,Yash Saxena,22scis204@uohyd.ac.in,M.Tech Computer Science,9876544214
s-SCIS-2-5,22SCIS205,Anjali Bhatt,22scis205@uohyd.ac.in,M.Tech Computer Science,9876544215
s-SCIS-2-6,22SCIS206,Manish Tiwari,22scis206@uohyd.ac.in,M.Tech Computer Science,9876544216
s-SCIS-2-7,22SCIS207,Divya Naidu,22scis207@uohyd.ac.in,M.Tech Computer Science,9876544217
s-SCIS-2-8,22SCIS208,Pranav Mishra,22scis208@uohyd.ac.in,M.Tech Computer Science,9876544218
s-SCIS-2-9,22SCIS209,Shreya Kulkarni,22scis209@uohyd.ac.in,M.Tech Computer Science,9876544219
s-SCIS-2-10,22SCIS210,Gaurav Shetty,22scis210@uohyd.ac.in,M.Tech Information Technology,9876544220
s-SCIS-2-11,22SCIS211,Neha Yadav,22scis211@uohyd.ac.in,M.Tech Information Technology,9876544221
s-SCIS-2-12,22SCIS212,Abhishek Dubey,22scis212@uohyd.ac.in,M.Tech Information Technology,9876544222
s-SCIS-2-13,22SCIS213,Kritika Jain,22scis213@uohyd.ac.in,M.Tech Information Technology,9876544223
s-SCIS-2-14,22SCIS214,Vishal Hegde,22scis214@uohyd.ac.in,M.Tech Information Technology,9876544224
s-SCIS-2-15,22SCIS215,Swati Ghosh,22scis215@uohyd.ac.in,M.Tech Information Technology,9876544225
