id,registration_number,name,email,department,phone
s-SLS-4-0,23SLS400,Student SLS 4-0,23sls400@uohyd.ac.in,M.Sc Biotechnology,9876543210
s-SLS-4-1,23SLS401,Student SLS 4-1,23sls401@uohyd.ac.in,M.Sc Biotechnology,9876543210
s-SLS-4-2,23SLS402,Student SLS 4-2,23sls402@uohyd.ac.in,M.Sc Biotechnology,9876543210
s-SLS-4-3,23SLS403,Student SLS 4-3,23sls403@uohyd.ac.in,M.Sc Biotechnology,9876543210
s-SLS-4-4,23SLS404,Student SLS 4-4,23sls404@uohyd.ac.in,M.Sc Biotechnology,9876543210
s-SLS-4-5,23SLS405,Student SLS 4-5,23sls405@uohyd.ac.in,M.Sc Biotechnology,9876543210
s-SLS-4-6,23SLS406,Student SLS 4-6,23sls406@uohyd.ac.in,M.Sc Molecular Biology,9876543210
s-SLS-4-7,23SLS407,Student SLS 4-7,23sls407@uohyd.ac.in,M.Sc Molecular Biology,9876543210
s-SLS-4-8,23SLS408,Student SLS 4-8,23sls408@uohyd.ac.in,M.Sc Molecular Biology,9876543210
s-SLS-4-9,23SLS409,Student SLS 4-9,23sls409@uohyd.ac.in,M.Sc Molecular Biology,9876543210
s-SLS-4-10,23SLS410,Student SLS 4-10,23sls410@uohyd.ac.in,M.Sc Molecular Biology,9876543210
s-SLS-4-11,23SLS411,Student SLS 4-11,23sls411@uohyd.ac.in,M.Sc Molecular Biology,9876543210
s-SLS-4-12,23SLS412,Student SLS 4-12,23sls412@uohyd.ac.in,M.Sc Genetics,9876543210
s-SLS-4-13,23SLS413,Student SLS 4-13,23sls413@uohyd.ac.in,M.Sc Genetics,9876543210
s-SLS-4-14,23SLS414,Student SLS 4-14,23sls414@uohyd.ac.in,M.Sc Genetics,9876543210
s-SLS-4-15,23SLS415,Student SLS 4-15,23sls415@uohyd.ac.in,M.Sc Genetics,9876543210
s-SLS-4-16,23SLS416,Student SLS 4-16,23sls416@uohyd.ac.in,M.Sc Genetics,9876543210
s-SLS-4-17,23SLS417,Student SLS 4-17,23sls417@uohyd.ac.in,M.Sc Genetics,9876543210
s-SLS-4-18,23SLS418,Student SLS 4-18,23sls418@uohyd.ac.in,M.Sc Genetics,9876543210
s-SLS-4-19,23SLS419,Student SLS 4-19,23sls419@uohyd.ac.in,M.Sc Genetics,9876543210
