id,registration_number,name,email,department,phone
s-SMS-1-0,23SMS222,Diya Chopra,23sms222@uohyd.ac.in,M.Sc Mathematics,9876543022
s-SMS-1-1,23SMS223,Ira Banerjee,23sms223@uohyd.ac.in,M.Sc Mathematics,9876543023
s-SMS-1-2,23SMS224,Myra Mukherjee,23sms224@uohyd.ac.in,M.Sc Mathematics,9876543024
s-SMS-1-3,23SMS225,Sara Das,23sms225@uohyd.ac.in,M.Sc Mathematics,9876543025
s-SMS-1-4,23SMS226,Navya Ghosh,23sms226@uohyd.ac.in,M.Sc Mathematics,9876543026
s-SMS-1-5,23SMS227,Kiara Chatterjee,23sms227@uohyd.ac.in,M.Sc Statistics,9876543027
s-SMS-1-6,23SMS228,Saanvi Roy,23sms228@uohyd.ac.in,M.Sc Statistics,9876543028
s-SMS-1-7,23SMS229,Avni Sen,23sms229@uohyd.ac.in,M.Sc Statistics,9876543029
s-SMS-1-8,23SMS230,Priya Sharma,23sms230@uohyd.ac.in,M.Sc Statistics,9876543030
s-SMS-1-9,23SMS231,Sneha Patel,23sms231@uohyd.ac.in,M.Sc Statistics,9876543031
s-SMS-1-10,23SMS232,Riya Kumar,23sms232@uohyd.ac.in,M.Sc Applied Mathematics,9876543032
s-SMS-1-11,23SMS233,Kavya Reddy,23sms233@uohyd.ac.in,M.Sc Applied Mathematics,9876543033
s-SMS-1-12,23SMS234,Tanvi Singh,23sms234@uohyd.ac.in,M.Sc Applied Mathematics,9876543034
s-SMS-1-13,23SMS235,Ishita Gupta,23sms235@uohyd.ac.in,M.Sc Applied Mathematics,9876543035
s-SMS-1-14,23SMS236,Meera Nair,23sms236@uohyd.ac.in,M.Sc Applied Mathematics,9876543036
