id,registration_number,name,email,department,phone
s-SoE-1-0,23SoE276,Navya Pandey,23soe276@uohyd.ac.in,M.A Economics,9876543076
s-SoE-1-1,23SoE277,Kiara Malhotra,23soe277@uohyd.ac.in,M.A Economics,9876543077
s-SoE-1-2,23SoE278,Saanvi Kapoor,23soe278@uohyd.ac.in,M.A Economics,9876543078
s-SoE-1-3,23SoE279,Avni Srinivasan,23soe279@uohyd.ac.in,M.A Economics,9876543079
s-SoE-1-4,23SoE280,Priya Mehta,23soe280@uohyd.ac.in,M.A Economics,9876543080
s-SoE-1-5,23SoE281,Sneha Shah,23soe281@uohyd.ac.in,M.A Economics,9876543081
s-SoE-1-6,23SoE282,Riya Chopra,23soe282@uohyd.ac.in,M.A Economics,9876543082
s-SoE-1-7,23SoE283,Kavya Banerjee,23soe283@uohyd.ac.in,M.A Economics,9876543083
s-SoE-1-8,23SoE284,Tanvi Mukherjee,23soe284@uohyd.ac.in,M.A Economics,9876543084
s-SoE-1-9,23SoE285,Ishita Das,23soe285@uohyd.ac.in,M.A Development Economics,9876543085
s-SoE-1-10,23SoE286,Meera Ghosh,23soe286@uohyd.ac.in,M.A Development Economics,9876543086
s-SoE-1-11,23SoE287,Pooja Chatterjee,23soe287@uohyd.ac.in,M.A Development Economics,9876543087
s-SoE-1-12,23SoE288,Nisha Roy,23soe288@uohyd.ac.in,M.A Development Economics,9876543088
s-SoE-1-13,23SoE289,Divya Sen,23soe289@uohyd.ac.in,M.A Development Economics,9876543089
s-SoE-1-14,23SoE290,Rohan Sharma,23soe290@uohyd.ac.in,M.A Development Economics,9876543090
s-SoE-1-15,23SoE291,Karthik Patel,23soe291@uohyd.ac.in,M.A Development Economics,9876543091
s-SoE-1-16,23SoE292,Vikram Kumar,23soe292@uohyd.ac.in,M.A Development Economics,9876543092
s-SoE-1-17,23SoE293,Rahul Reddy,23soe293@uohyd.ac.in,M.A Development Economics,9876543093
