id,registration_number,name,email,department,phone
s-SoSS-2-0,23SoSS357,Ayaan Iyer,23soss357@uohyd.ac.in,M.A Sociology,9876543157
s-SoSS-2-1,23SoSS358,Krishna Rao,23soss358@uohyd.ac.in,M.A Sociology,9876543158
s-SoSS-2-2,23SoSS359,Ishaan Verma,23soss359@uohyd.ac.in,M.A Sociology,9876543159
s-SoSS-2-3,23SoSS360,Shaurya Joshi,23soss360@uohyd.ac.in,M.A Sociology,9876543160
s-SoSS-2-4,23SoSS361,Atharv Desai,23soss361@uohyd.ac.in,M.A Sociology,9876543161
s-SoSS-2-5,23SoSS362,Advait Menon,23soss362@uohyd.ac.in,M.A Political Science,9876543162
s-SoSS-2-6,23SoSS363,Pranav Krishnan,23soss363@uohyd.ac.in,M.A Political Science,9876543163
s-SoSS-2-7,23SoSS364,Dhruv Bhat,23soss364@uohyd.ac.in,M.A Political Science,9876543164
s-SoSS-2-8,23SoSS365,Kabir Agarwal,23soss365@uohyd.ac.in,M.A Political Science,9876543165
s-SoSS-2-9,23SoSS366,Shivansh Pandey,23soss366@uohyd.ac.in,M.A Political Science,9876543166
s-SoSS-2-10,23SoSS367,Reyansh Malhotra,23soss367@uohyd.ac.in,M.A Social Work,9876543167
s-SoSS-2-11,23SoSS368,Aadhya Kapoor,23soss368@uohyd.ac.in,M.A Social Work,9876543168
s-SoSS-2-12,23SoSS369,Ananya Srinivasan,23soss369@uohyd.ac.in,M.A Social Work,9876543169
s-SoSS-2-13,23SoSS370,Pari Mehta,23soss370@uohyd.ac.in,M.A Social Work,9876543170
s-SoSS-2-14,23SoSS371,Anika Shah,23soss371@uohyd.ac.in,M.A Social Work,9876543171
